t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,mu_membership_reward,current_delta,eta_delta_drift,punish_floor,punish_intensity_step,pi_reward,lam_punish
0,0.35273859761925597,0.49120714401068427,0.35273859761925597,0.49120714401068427,0.2342918089705646,0.5,0.0,0.32468288816406204,0.3216440031083298,0.002857142857142857,0.0,0.32468288816406204,0.3216440031083298,0.002857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.794285714285714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.08,0.0,0.25,0.25
1,0.3633550240165674,0.49125886166834815,0.3633550240165674,0.49125886166834815,0.2342918089705646,0.49602553497807006,0.5542857142857143,0.3249686024497763,0.3218582888226155,0.002857142857142857,0.5542857142857143,0.3249686024497763,0.3218582888226155,0.002857142857142857,0.011428571428571429,0.011428571428571429,0.0,0.025714285714285714,0.0,0.0,0.02659761113291438,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,28,0.0017142857142857142,0.0,0.011428571428571429,0.0,0.0,0.75,0.0,0.2,0.0,0.2,0.0,0.08,0.011428571428571429,0.25,0.25
2,0.37332289882542846,0.49239815971657697,0.37332289882542846,0.49239815971657697,0.2342918089705646,0.4923743842937586,0.8142857142857143,0.3267971738783478,0.3232297173940441,0.002857142857142857,0.8142857142857143,0.3267971738783478,0.3232297173940441,0.002857142857142857,0.045714285714285714,0.045714285714285714,0.0,0.017142857142857144,0.0,0.0,0.02659761113291438,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,27,0.008562857142857143,0.0,0.056914285714285716,0.0,0.0,0.875,0.0,0.2,0.0,0.2,0.0,0.08,0.045714285714285714,0.25,0.25
3,0.382894376874201,0.49102846765731994,0.382894376874201,0.49102846765731994,0.2342918089705646,0.48890755216335985,0.9028571428571428,0.32799717387834776,0.32412971739404406,0.005714285714285714,0.9028571428571428,0.32799717387834776,0.32412971739404406,0.005714285714285714,0.03142857142857143,0.03142857142857143,0.0,0.03142857142857143,0.0,0.0,0.02659761113291438,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,22,0.013234328571428571,0.0,0.08720457142857142,0.0,0.0,0.8181818181818182,0.0,0.2,0.0,0.2,0.0,0.08,0.03142857142857143,0.25,0.25
4,0.39075082428574676,0.4917357876764988,0.39075082428574676,0.4917357876764988,0.2342918089705646,0.4903286216471477,0.9114285714285715,0.32891145959263346,0.3248154316797584,0.005714285714285714,0.9114285714285715,0.32891145959263346,0.3248154316797584,0.005714285714285714,0.025714285714285714,0.025714285714285714,0.0,0.03428571428571429,0.0,0.0,0.02659761113291438,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,21,0.017025299785714286,0.0,0.11117476571428571,0.0,0.0,0.8888888888888888,0.0,0.2,0.0,0.2,0.0,0.08,0.025714285714285714,0.25,0.25
5,0.39980058439147115,0.49168300595529996,0.39980058439147115,0.49168300595529996,0.2342918089705646,0.49150567605483897,0.8942857142857142,0.3297686024497763,0.3254582888226155,0.008571428571428572,0.8942857142857142,0.3297686024497763,0.3254582888226155,0.008571428571428572,0.025714285714285714,0.025714285714285714,0.0,0.02,0.0,0.0,0.02659761113291438,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,19,0.02079731614392857,0.0,0.1346655561142857,0.0,0.0,0.7777777777777778,0.0,0.2,0.0,0.2,0.0,0.08,0.025714285714285714,0.25,0.25
6,0.4085322607340338,0.4904970377091154,0.4085322607340338,0.4904970377091154,0.2342918089705646,0.4921289465065217,0.8914285714285715,0.3305686024497763,0.32605828882261545,0.008571428571428572,0.8914285714285715,0.3305686024497763,0.32605828882261545,0.008571428571428572,0.022857142857142857,0.022857142857142857,0.0,0.011428571428571429,0.0,0.0,0.02659761113291438,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,19,0.024121900991780357,0.0,0.15482938784914285,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.0,0.08,0.022857142857142857,0.25,0.25
7,0.41707978534285034,0.4902194383692704,0.41707978534285034,0.4902194383692704,0.2342918089705646,0.4923308332122732,0.8885714285714286,0.33194003102120484,0.32708686025118694,0.014285714285714285,0.8885714285714286,0.33194003102120484,0.32708686025118694,0.014285714285714285,0.037142857142857144,0.037142857142857144,0.0,0.02857142857142857,0.0,0.0,0.02659761113291438,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,17,0.029572720058250027,0.0,0.18887565723501715,0.0,0.0,0.9230769230769231,0.0,0.2,0.0,0.2,0.0,0.08,0.037142857142857144,0.25,0.25
8,0.4261775119320067,0.4909533849955787,0.4261775119320067,0.4909533849955787,0.2342918089705646,0.49481223875897706,0.9457142857142857,0.33279717387834773,0.32772971739404405,0.014285714285714285,0.9457142857142857,0.33279717387834773,0.32772971739404405,0.014285714285714285,0.022857142857142857,0.022857142857142857,0.0,0.025714285714285714,0.0,0.0,0.02659761113291438,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,14,0.03285342788653021,0.0,0.20795528694745966,0.0,0.0,0.75,0.0,0.2,0.0,0.2,0.0,0.08,0.022857142857142857,0.25,0.25
9,0.43629276188528926,0.4914326893814219,0.43629276188528926,0.4914326893814219,0.2342918089705646,0.4969808995704698,0.9142857142857143,0.33434003102120485,0.3288868602511869,0.014285714285714285,0.9142857142857143,0.33434003102120485,0.3288868602511869,0.014285714285714285,0.037142857142857144,0.04285714285714286,0.0,0.02,0.0,0.0,0.02659761113291438,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,14,0.03911773217566898,0.0,0.24665332406565332,0.0,0.0,0.8666666666666667,0.0,0.2,0.0,0.2,0.0,0.08,0.037142857142857144,0.25,0.25
