t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,mu_membership_reward,current_delta,eta_delta_drift,punish_floor,punish_intensity_step,pi_reward,lam_punish
0,0.34286512188196766,0.5016855391492695,0.34286512188196766,0.5016855391492695,0.26040296497001675,0.5,0.0,0.3236653427463646,0.33374013127775004,0.008571428571428572,0.0,0.3236653427463646,0.33374013127775004,0.008571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.794285714285714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.05,0.08,0.0,0.25,0.25
1,0.35092051799879265,0.5024117718350033,0.35092051799879265,0.5024117718350033,0.26040296497001675,0.501208215688591,0.6085714285714285,0.3247510570320789,0.33455441699203575,0.008571428571428572,0.6085714285714285,0.3247510570320789,0.33455441699203575,0.008571428571428572,0.03142857142857143,0.03142857142857143,0.0,0.037142857142857144,0.0,0.0,0.02671545865660168,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,28,0.004714285714285714,0.0,0.03142857142857143,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.05,0.08,0.03142857142857143,0.25,0.25
2,0.3585572651817589,0.502787252145968,0.3585572651817589,0.502787252145968,0.26040296497001675,0.5024617200829252,0.8571428571428571,0.32631135073573847,0.33579727413489285,0.008571428571428572,0.8571428571428571,0.32631135073573847,0.33579727413489285,0.008571428571428572,0.054285714285714284,0.054285714285714284,0.0,0.04,0.0,0.0,0.02671545865660168,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,25,0.012833571428571427,0.0,0.08508571428571429,0.0,0.0,0.9473684210526315,0.0,0.2,0.0,0.2,0.05,0.08,0.054285714285714284,0.25,0.25
3,0.36874132547111765,0.5030572276622608,0.36874132547111765,0.5030572276622608,0.26040296497001675,0.5033620193032581,0.92,0.32699706502145276,0.33648298842060714,0.011428571428571429,0.92,0.32699706502145276,0.33648298842060714,0.011428571428571429,0.03142857142857143,0.03142857142857143,0.0,0.03142857142857143,0.0,0.0,0.02671545865660168,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,21,0.017483689285714286,0.0,0.11481257142857142,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.05,0.08,0.03142857142857143,0.25,0.25
4,0.3770964624547412,0.5030796376289649,0.3770964624547412,0.5030796376289649,0.26040296497001675,0.5040831607480368,0.9,0.3286375031431603,0.3378544169920357,0.014285714285714285,0.9,0.3286375031431603,0.3378544169920357,0.014285714285714285,0.05142857142857143,0.054285714285714284,0.0,0.04285714285714286,0.0,0.0,0.02671545865660168,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,19,0.025539127982142855,0.0,0.16680203428571427,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.05,0.08,0.05142857142857143,0.25,0.25
5,0.3869534217054886,0.502778372437288,0.3869534217054886,0.502778372437288,0.26040296497001675,0.502664454799751,0.9114285714285715,0.3301575542203409,0.33917649965550195,0.014285714285714285,0.9114285714285715,0.3301575542203409,0.33917649965550195,0.014285714285714285,0.05142857142857143,0.05714285714285714,0.0,0.045714285714285714,0.0,0.0,0.02671545865660168,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,15,0.03398286091366071,0.0,0.2206088507428571,0.0,0.0,0.95,0.0,0.2,0.0,0.2,0.05,0.08,0.05142857142857143,0.25,0.25
6,0.39654594520076314,0.5031095922078004,0.39654594520076314,0.5031095922078004,0.26040296497001675,0.5012875863781044,0.8971428571428571,0.33057034874498714,0.33983501682257683,0.017142857142857144,0.8971428571428571,0.33057034874498714,0.33983501682257683,0.017142857142857144,0.04,0.04285714285714286,0.0,0.06571428571428571,0.0,0.0,0.02671545865660168,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,14,0.040241518037663834,0.0,0.25905381658514287,0.0,0.0,0.8666666666666667,0.0,0.2,0.0,0.2,0.05,0.08,0.04,0.25,0.25
7,0.40441291457051,0.5026170049434703,0.40441291457051,0.5026170049434703,0.26040296497001675,0.5010780819652839,0.9314285714285714,0.33119892017355856,0.34056358825114835,0.022857142857142857,0.9314285714285714,0.33119892017355856,0.34056358825114835,0.022857142857142857,0.045714285714285714,0.04857142857142857,0.0,0.07428571428571429,0.0,0.0,0.02671545865660168,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,14,0.04631016116351388,0.0,0.3024441688248686,0.0,0.0,0.9411764705882353,0.0,0.2,0.0,0.2,0.05,0.08,0.045714285714285714,0.25,0.25
8,0.4133706532447061,0.5022797534442873,0.4133706532447061,0.5022797534442873,0.26040296497001675,0.500722634405127,0.8857142857142857,0.33182749160212993,0.34103501682257686,0.025714285714285714,0.8857142857142857,0.33182749160212993,0.34103501682257686,0.025714285714285714,0.045714285714285714,0.045714285714285714,0.0,0.07714285714285714,0.0,0.0,0.02671545865660168,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,13,0.050850038929124874,0.0,0.3421095711626569,0.0,0.0,0.875,0.0,0.2,0.0,0.2,0.05,0.08,0.045714285714285714,0.25,0.25
9,0.42193439015705947,0.5021190662467822,0.42193439015705947,0.5021190662467822,0.26040296497001675,0.5014016071679606,0.8942857142857142,0.3325703487449871,0.3417635882511483,0.02857142857142857,0.8942857142857142,0.3325703487449871,0.3417635882511483,0.02857142857142857,0.04857142857142857,0.04857142857142857,0.0,0.09142857142857143,0.0,0.0,0.02671545865660168,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,11,0.055641178173603145,0.0,0.3838388083108323,0.0,0.0,0.9411764705882353,0.0,0.2,0.0,0.2,0.05,0.08,0.04857142857142857,0.25,0.25
