t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,active_punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,pi_reward,lam_punish
0,0.3365370925069666,0.5072095157719756,0.3365370925069666,0.5072095157719756,0.2565277964191035,0.5,0.0,0.3577973194433776,0.32627624322161425,0.005714285714285714,0.0,0.3577973194433776,0.32627624322161425,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.794285714285714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.25
1,0.34595561579510203,0.507236615325967,0.34595561579510203,0.507236615325967,0.2565277964191035,0.508832197550934,0.6457142857142857,0.357225890871949,0.3258476717930428,0.005714285714285714,0.6457142857142857,0.357225890871949,0.3258476717930428,0.005714285714285714,0.02,0.02,0.02,0.0,0.022857142857142857,0.0,0.0,0.1892620814326354,0.05269999999999998,11.794285714285714,0.0,0.0,0.15,0.08,28,0.0029999999999999996,0.0,0.02,0.0,0.0,0.7142857142857143,0.03,0.25
2,0.3554473826163831,0.507621806820899,0.3554473826163831,0.507621806820899,0.2565277964191035,0.5167940993659786,0.8885714285714286,0.3564258908719491,0.3252476717930428,0.005714285714285714,0.8885714285714286,0.3564258908719491,0.3252476717930428,0.005714285714285714,0.025714285714285714,0.025714285714285714,0.025714285714285714,0.0,0.02857142857142857,0.0,0.0,0.1892620814326354,0.05269999999999998,11.794285714285714,0.0,0.0,0.15,0.08,27,0.006842142857142857,0.0,0.04531428571428571,0.0,0.0,0.7777777777777778,0.03,0.25
3,0.3659205357223011,0.5071700912880434,0.3659205357223011,0.5071700912880434,0.2565277964191035,0.524184179722412,0.8771428571428571,0.35568303372909194,0.32469052893589995,0.002857142857142857,0.8771428571428571,0.35568303372909194,0.32469052893589995,0.002857142857142857,0.025714285714285714,0.025714285714285714,0.025714285714285714,0.0,0.03142857142857143,0.0,0.0,0.1892620814326354,0.05269999999999998,11.794285714285714,0.0,0.0,0.15,0.08,25,0.010665075,0.0,0.07012228571428572,0.0,0.0,0.8888888888888888,0.03,0.25
4,0.37715227941572704,0.5061312877445447,0.37715227941572704,0.5061312877445447,0.2565277964191035,0.5303666643723728,0.8971428571428571,0.35476874801480623,0.32400481465018566,0.002857142857142857,0.8971428571428571,0.35476874801480623,0.32400481465018566,0.002857142857142857,0.03142857142857143,0.03142857142857143,0.03142857142857143,0.0,0.054285714285714284,0.0,0.0,0.1892620814326354,0.05269999999999998,11.794285714285714,0.0,0.0,0.15,0.08,23,0.015326035339285714,0.0,0.10014841142857142,0.0,0.0,0.7272727272727273,0.03,0.25
5,0.3866968580766827,0.5071606774957006,0.3866968580766827,0.5071606774957006,0.2565277964191035,0.5354263423248959,0.9142857142857143,0.35339731944337754,0.3229762432216143,0.0,0.9142857142857143,0.35339731944337754,0.3229762432216143,0.0,0.05142857142857143,0.05142857142857143,0.05142857142857143,0.0,0.08857142857142856,0.0,0.0,0.1892620814326354,0.05269999999999998,11.794285714285714,0.0,0.0,0.15,0.08,20,0.022963690876875,0.0,0.14957401462857142,0.0,0.0,0.8888888888888888,0.03,0.25
6,0.39599960774436893,0.5087612226408491,0.39599960774436893,0.5087612226408491,0.2565277964191035,0.5354263423248959,0.8542857142857143,0.352025890871949,0.32204034604742887,0.0,0.8542857142857143,0.352025890871949,0.32204034604742887,0.0,0.04285714285714286,0.045714285714285714,0.045714285714285714,0.0,0.11428571428571428,0.0,0.0,0.1892620814326354,0.05269999999999998,11.794285714285714,0.0,0.0,0.15,0.08,16,0.029706015279633482,0.0,0.1922968200502857,0.0,0.0,0.9375,0.03,0.25
7,0.40552041251228305,0.5101440876824926,0.40552041251228305,0.5101440876824926,0.2565277964191035,0.5354263423248959,0.8971428571428571,0.3509973194433776,0.32131177461885746,0.0,0.8971428571428571,0.3509973194433776,0.32131177461885746,0.0,0.03428571428571429,0.037142857142857144,0.037142857142857144,0.0,0.14,0.0,0.0,0.1892620814326354,0.05269999999999998,11.794285714285714,0.0,0.0,0.15,0.08,11,0.035128913774663886,0.0,0.22559374079213715,0.0,0.0,0.9230769230769231,0.03,0.25
8,0.41485989427478137,0.5101084293533782,0.41485989427478137,0.5101084293533782,0.2565277964191035,0.5354263423248959,0.9228571428571428,0.3501973194433776,0.32071177461885747,0.0,0.9228571428571428,0.3501973194433776,0.32071177461885747,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.15428571428571428,0.0,0.0,0.1892620814326354,0.05269999999999998,11.794285714285714,0.0,0.0,0.15,0.08,9,0.03923898349150485,0.14555587640343984,0.24965329454772295,0.8858423808639998,0.0,0.7,0.03,0.25
9,0.42420438755025675,0.5110020636687872,0.42420438755025675,0.5110020636687872,0.2565277964191035,0.5354263423248959,0.9114285714285715,0.3494544623005205,0.3201546317617146,0.0,0.9114285714285715,0.3494544623005205,0.3201546317617146,0.0,0.022857142857142857,0.022857142857142857,0.022857142857142857,0.0,0.17714285714285713,0.0,0.0,0.1892620814326354,0.05269999999999998,11.794285714285714,0.0,0.0,0.15,0.08,7,0.04247136000261876,0.14628731296828124,0.26751737151391136,0.9039207967999998,0.0,0.5,0.03,0.25
