t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,mu_membership_reward,current_delta,eta_delta_drift,punish_floor,punish_intensity_step,pi_reward,lam_punish
0,0.34304084305248767,0.5043328207700074,0.34304084305248767,0.5043328207700074,0.246879425001856,0.5,0.0,0.35362681131127494,0.32957528027698574,0.008571428571428572,0.0,0.35362681131127494,0.32957528027698574,0.008571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.794285714285714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.3,0.08,0.0,0.5,0.25
1,0.3514848356895903,0.5049627765708313,0.3514848356895903,0.5049627765708313,0.246879425001856,0.49923127630237607,0.6571428571428571,0.35548652914893253,0.33098956599127144,0.011428571428571429,0.6571428571428571,0.35548652914893253,0.33098956599127144,0.011428571428571429,0.05142857142857143,0.054285714285714284,0.0,0.022857142857142857,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,28,0.008142857142857143,0.0,0.054285714285714284,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.3,0.08,0.05142857142857143,0.5,0.25
2,0.35986956486619776,0.5045571586864466,0.35986956486619776,0.5045571586864466,0.246879425001856,0.4987315246562662,0.82,0.3568579577203611,0.3321895659912715,0.011428571428571429,0.82,0.3568579577203611,0.3321895659912715,0.011428571428571429,0.04,0.04,0.0,0.022857142857142857,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,21,0.014102142857142856,0.0,0.09319999999999999,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.3,0.08,0.04,0.5,0.25
3,0.36750250841938753,0.5047590751834347,0.36750250841938753,0.5047590751834347,0.246879425001856,0.49862619316616114,0.8685714285714285,0.35751339073641647,0.33283242313412864,0.011428571428571429,0.8685714285714285,0.35751339073641647,0.33283242313412864,0.011428571428571429,0.022857142857142857,0.025714285714285714,0.0,0.02,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,19,0.017888775000000003,0.0,0.1170502857142857,0.0,0.0,0.8888888888888888,0.0,0.2,0.0,0.2,0.3,0.08,0.022857142857142857,0.5,0.25
4,0.378214639040548,0.504489009884576,0.378214639040548,0.504489009884576,0.246879425001856,0.49892158048763185,0.8914285714285715,0.3581419621649879,0.3338181374198429,0.011428571428571429,0.8914285714285715,0.3581419621649879,0.3338181374198429,0.011428571428571429,0.037142857142857144,0.037142857142857144,0.0,0.022857142857142857,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,19,0.023370759696428572,0.0,0.15185213714285714,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.3,0.08,0.037142857142857144,0.5,0.25
5,0.38750806412818456,0.5050509298480627,0.38750806412818456,0.5050509298480627,0.246879425001856,0.49919487289834397,0.9085714285714286,0.3589991050221308,0.33473971355852117,0.017142857142857144,0.9085714285714286,0.3589991050221308,0.33473971355852117,0.017142857142857144,0.037142857142857144,0.04,0.0,0.03142857142857143,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,18,0.029253905897946422,0.0,0.18881509440000002,0.0,0.0,0.9285714285714286,0.0,0.2,0.0,0.2,0.3,0.08,0.037142857142857144,0.5,0.25
6,0.39784277456826717,0.5052777291311591,0.39784277456826717,0.5052777291311591,0.246879425001856,0.5004609694882741,0.9142857142857143,0.36014196216498795,0.3356397135585212,0.02,0.9142857142857143,0.36014196216498795,0.3356397135585212,0.02,0.03428571428571429,0.037142857142857144,0.0,0.022857142857142857,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,15,0.03447423493533571,0.0,0.22218164965485715,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.3,0.08,0.03428571428571429,0.5,0.25
7,0.40618529631874156,0.5057476697302046,0.40618529631874156,0.5057476697302046,0.246879425001856,0.5011254617052779,0.9,0.3617870257062494,0.3372254278442355,0.02,0.9,0.3617870257062494,0.3372254278442355,0.02,0.06,0.06285714285714286,0.0,0.037142857142857144,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,12,0.0418652114775608,0.0,0.28059515951890285,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.3,0.08,0.06,0.5,0.25
8,0.41779087663100517,0.5060402200942148,0.41779087663100517,0.5060402200942148,0.246879425001856,0.5020708148101507,0.9228571428571428,0.36232266574193756,0.3379111421299497,0.022857142857142857,0.9228571428571428,0.36232266574193756,0.3379111421299497,0.022857142857142857,0.03142857142857143,0.03142857142857143,0.0,0.04285714285714286,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,11,0.04491638819490009,0.0,0.3064118277570962,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.3,0.08,0.03142857142857143,0.5,0.25
9,0.4285976269517225,0.5058955837581092,0.4285976269517225,0.5058955837581092,0.246879425001856,0.5023687709749309,0.9342857142857143,0.3626655228847947,0.3383395123550881,0.025714285714285714,0.9342857142857143,0.3626655228847947,0.3383395123550881,0.025714285714285714,0.017142857142857144,0.017142857142857144,0.0,0.06285714285714286,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,10,0.04649166339678273,0.0,0.31742644834481143,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.3,0.08,0.017142857142857144,0.5,0.25
10,0.43608141909291936,0.5063011921530562,0.43608141909291936,0.5063011921530562,0.246879425001856,0.5024983506615386,0.9171428571428571,0.3640369514562233,0.3397675776438555,0.02857142857142857,0.9171428571428571,0.3640369514562233,0.3397675776438555,0.02857142857142857,0.05714285714285714,0.06,0.0,0.04,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,10,0.05237334793694167,0.0,0.37107791937791523,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.3,0.08,0.05714285714285714,0.5,0.25
11,0.44638021248317583,0.5050330099014502,0.44638021248317583,0.5050330099014502,0.246879425001856,0.5024196882759672,0.9085714285714286,0.36575123717050895,0.3414818633581413,0.02857142857142857,0.9085714285714286,0.36575123717050895,0.3414818633581413,0.02857142857142857,0.06571428571428571,0.06857142857142857,0.0,0.06571428571428571,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,9,0.059597327129707243,0.0,0.4322277895617854,0.0,0.0,0.75,0.0,0.2,0.0,0.2,0.3,0.08,0.06571428571428571,0.5,0.25
12,0.453794946482863,0.5046902084703698,0.453794946482863,0.5046902084703698,0.246879425001856,0.5023307567405857,0.9342857142857143,0.36769409431336614,0.34311043478671266,0.03428571428571429,0.9342857142857143,0.36769409431336614,0.34311043478671266,0.03428571428571429,0.06,0.06285714285714286,0.0,0.08,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,7,0.06664219763691587,0.0,0.4864403766276926,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.3,0.08,0.06,0.5,0.25
13,0.46392040757995007,0.5038392378453326,0.46392040757995007,0.5038392378453326,0.246879425001856,0.5022634110062707,0.9228571428571428,0.36889409431336617,0.34401546605628425,0.037142857142857144,0.9228571428571428,0.36889409431336617,0.34401546605628425,0.037142857142857144,0.045714285714285714,0.04857142857142857,0.0,0.07714285714285714,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,6,0.07076584379158841,0.0,0.5252829976665674,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.3,0.08,0.045714285714285714,0.5,0.25
14,0.4745216925082309,0.5036682121790735,0.4745216925082309,0.5036682121790735,0.246879425001856,0.5026407393696092,0.9085714285714286,0.37037980859908043,0.34525832319914135,0.04,0.9085714285714286,0.37037980859908043,0.34525832319914135,0.04,0.05714285714285714,0.06,0.0,0.06857142857142857,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,6,0.07655444385834477,0.0,0.5747773377132359,0.0,0.0,0.9523809523809523,0.0,0.2,0.0,0.2,0.3,0.08,0.05714285714285714,0.5,0.25
15,0.48409195221357876,0.5024817485283144,0.48409195221357876,0.5024817485283144,0.246879425001856,0.5027521206170005,0.9114285714285715,0.3714104852076928,0.3461583231991413,0.04,0.9114285714285715,0.3714104852076928,0.3461583231991413,0.04,0.04285714285714286,0.04857142857142857,0.0,0.07714285714285714,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,6,0.07937138592476732,0.0,0.6118532195303998,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.3,0.08,0.04285714285714286,0.5,0.25
16,0.49257205861165915,0.5015034543485021,0.49257205861165915,0.5015034543485021,0.246879425001856,0.5029198868414753,0.8971428571428571,0.37339175323021223,0.34774403748485566,0.04,0.8971428571428571,0.37339175323021223,0.34774403748485566,0.04,0.07714285714285714,0.07714285714285714,0.0,0.07142857142857142,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,6,0.08792372596714572,0.0,0.6767590122826489,0.0,0.0,0.9259259259259259,0.0,0.2,0.0,0.2,0.3,0.08,0.07714285714285714,0.5,0.25
17,0.5005393073439092,0.5009423089659538,0.5005393073439092,0.5009423089659538,0.246879425001856,0.5029578334668293,0.8742857142857143,0.37471986782654637,0.34950118034199845,0.04,0.8742857142857143,0.37471986782654637,0.34950118034199845,0.04,0.07714285714285714,0.08,0.0,0.10571428571428572,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,5,0.09525782813088765,0.13913534532274913,0.743223832036996,0.7385691026454037,0.0,0.9285714285714286,0.0,0.2,0.0,0.2,0.3,0.08,0.07714285714285714,0.5,0.25
18,0.5088902851714582,0.5007141609037838,0.5088902851714582,0.5007141609037838,0.246879425001856,0.5030921944692557,0.92,0.37541267898314035,0.35053318681094836,0.04285714285714286,0.92,0.37541267898314035,0.35053318681094836,0.04285714285714286,0.06,0.06285714285714286,0.0,0.12571428571428572,0.0,0.0,0.03327722092857899,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,4,0.09943699388706713,0.13843966859613538,0.7912164982533989,0.7237977205924956,0.0,1.0,0.0,0.2,0.0,0.2,0.3,0.08,0.06,0.5,0.25
19,0.5165131026382801,0.5023475599611211,0.5165131026382801,0.5023475599611211,0.246879425001856,0.5031616139894766,0.92,0.37656276595446025,0.35202575119474055,0.045714285714285714,0.92,0.37656276595446025,0.35202575119474055,0.045714285714285714,0.08857142857142856,0.08857142857142856,0.0,0.14857142857142858,0.0,0.0,0.03147898833258154,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,4,0.10548104571285848,0.13838311888147092,0.8639635968597597,0.7234658918207628,0.0,0.9032258064516129,0.0,0.2,0.0,0.35942857142857143,0.3,0.08,0.08857142857142856,0.5,0.25
20,0.5257281901715369,0.5041319043204603,0.5257281901715369,0.5041319043204603,0.246879425001856,0.5037386441236597,0.9171428571428571,0.3771913373830317,0.35288289405188344,0.04857142857142857,0.9171428571428571,0.3771913373830317,0.35288289405188344,0.04857142857142857,0.054285714285714284,0.05714285714285714,0.0,0.18571428571428572,0.0,0.0,0.03147898833258154,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,3,0.10781035548429417,0.13769120328706358,0.9038271820654215,0.7089965739843476,0.0,1.0,0.0,0.2,0.0,0.35942857142857143,0.3,0.08,0.054285714285714284,0.5,0.25
21,0.535834956774845,0.5035556978823987,0.535834956774845,0.5035556978823987,0.246879425001856,0.5045025132715433,0.8885714285714286,0.37835443761702503,0.3540773554190038,0.04857142857142857,0.8885714285714286,0.37835443761702503,0.3540773554190038,0.04857142857142857,0.08,0.08857142857142856,0.0,0.21142857142857144,0.002857142857142857,0.0,0.030497177426041074,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,3,0.11184974247798193,0.14266651956986576,0.9743220669955416,0.8170728068875467,0.0,0.967741935483871,0.0,0.2,0.0,0.4556,0.3,0.08,0.08,0.5,0.25
22,0.5439590140115493,0.5038078137207612,0.5439590140115493,0.5038078137207612,0.246879425001856,0.5052938964636469,0.88,0.3790401519027393,0.35491761857854665,0.05142857142857143,0.88,0.3790401519027393,0.35491761857854665,0.05142857142857143,0.06571428571428571,0.07142857142857142,0.0,0.22857142857142856,0.0,0.0,0.030497177426041074,0.11836634914903713,11.794285714285714,0.0,0.0,0.15,0.08,3,0.11487344299305904,0.14195318697201642,1.0262641970842021,0.8007313507497957,0.0,1.0,0.0,0.2,0.0,0.4556,0.3,0.08,0.06571428571428571,0.5,0.25
