t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,pi_reward,lam_punish
0,0.3579605308037155,0.5077727076179395,0.3579605308037155,0.5077727076179395,0.26107685272754566,0.5,0.0,0.33369796589576517,0.3279135358137105,0.005714285714285714,0.0,0.33369796589576517,0.3279135358137105,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.794285714285714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25
1,0.3663722005023792,0.5082385825338471,0.3663722005023792,0.5082385825338471,0.26107685272754566,0.5073806164839121,0.5742857142857143,0.33449796589576514,0.3285135358137105,0.005714285714285714,0.5742857142857143,0.33449796589576514,0.3285135358137105,0.005714285714285714,0.022857142857142857,0.022857142857142857,0.0,0.9771428571428571,0.0,0.0,0.9424649120601347,0.13196634914903713,11.794285714285714,0.0,0.0,0.15,0.08,28,0.0034285714285714284,0.0,0.022857142857142857,0.0,0.0,0.75,0.5,0.25
2,0.37718134147809484,0.5078572149816112,0.37718134147809484,0.5078572149816112,0.26107685272754566,0.5141656085635229,0.8257142857142857,0.3360408230386223,0.32967067867085337,0.005714285714285714,0.8257142857142857,0.3360408230386223,0.32967067867085337,0.005714285714285714,0.037142857142857144,0.04,0.0,1.8742857142857143,0.0,0.0,0.9424649120601347,0.13196634914903713,11.794285714285714,0.0,0.0,0.15,0.08,26,0.009411428571428572,0.0,0.0624,0.0,0.0,1.0,0.5,0.25
3,0.38732058042039885,0.5076968495723942,0.38732058042039885,0.5076968495723942,0.26107685272754566,0.5201670191075327,0.8942857142857142,0.33672653732433655,0.3301849643851391,0.005714285714285714,0.8942857142857142,0.33672653732433655,0.3301849643851391,0.005714285714285714,0.02,0.02,0.0,2.777142857142857,0.0,0.0,0.9424649120601347,0.13196634914903713,11.794285714285714,0.0,0.0,0.15,0.08,21,0.012364371428571429,0.0,0.08115199999999999,0.0,0.0,0.8571428571428571,0.5,0.25
4,0.3968186064722573,0.5083744936079269,0.3968186064722573,0.5083744936079269,0.26107685272754566,0.5250415527186992,0.9171428571428571,0.3380408230386223,0.3311706786708534,0.008571428571428572,0.9171428571428571,0.3380408230386223,0.3311706786708534,0.008571428571428572,0.03428571428571429,0.03428571428571429,0.0,3.702857142857143,0.0,0.0,0.9424649120601347,0.13196634914903713,11.794285714285714,0.0,0.0,0.15,0.08,20,0.017445406714285714,0.0,0.1138146742857143,0.0,0.0,1.0,0.5,0.25
5,0.40501477343254944,0.508528479121625,0.40501477343254944,0.508528479121625,0.26107685272754566,0.5289377756624283,0.8942857142857142,0.33935510875290803,0.3321563929565677,0.008571428571428572,0.8942857142857142,0.33935510875290803,0.3321563929565677,0.008571428571428572,0.03428571428571429,0.03428571428571429,0.0,4.5685714285714285,0.0,0.0,0.9424649120601347,0.13196634914903713,11.794285714285714,0.0,0.0,0.15,0.08,16,0.022501036823571432,0.0,0.14582409508571428,0.0,0.0,0.9166666666666666,0.5,0.25
6,0.413768541830243,0.5089731042671461,0.413768541830243,0.5089731042671461,0.26107685272754566,0.5322674746221165,0.9028571428571428,0.3407265373243366,0.3331849643851391,0.011428571428571429,0.9028571428571428,0.3407265373243366,0.3331849643851391,0.011428571428571429,0.03428571428571429,0.03428571428571429,0.0,5.385714285714286,0.0,0.0,0.9424649120601347,0.13196634914903713,11.794285714285714,0.0,0.0,0.15,0.08,11,0.027531388782310713,0.0,0.17719332746971428,0.0,0.0,0.9166666666666666,0.5,0.25
7,0.4175742142258047,0.5089335194074098,0.4175742142258047,0.5089335194074098,0.26107685272754566,0.5368524641456998,0.19714285714285715,0.3418021632498236,0.33404210724228195,0.014285714285714285,0.19714285714285715,0.3418021632498236,0.33404210724228195,0.014285714285714285,0.02857142857142857,0.02857142857142857,0.0,6.208571428571428,0.0,0.0,0.9424649120601347,0.13196634914903713,11.794285714285714,0.0,0.0,0.15,0.08,10,0.03167944612411345,0.0,0.20222088949174852,0.0,0.0,1.0,0.5,0.25
8,0.4210533308626114,0.5105125189344841,0.4210533308626114,0.5105125189344841,0.26107685272754566,0.5411842069923666,0.18857142857142858,0.34288787753553795,0.33507067867085344,0.014285714285714285,0.18857142857142858,0.34288787753553795,0.33507067867085344,0.014285714285714285,0.03428571428571429,0.037142857142857144,0.0,7.017142857142857,0.0,0.0,0.9424649120601347,0.13196634914903713,11.794285714285714,0.0,0.0,0.15,0.08,10,0.03709247746492145,0.0,0.23531932884477072,0.0,0.0,0.9230769230769231,0.5,0.25
9,0.4203825845544456,0.5110754486385849,0.4203825845544456,0.5110754486385849,0.26107685272754566,0.5456302519226152,0.054285714285714284,0.34385930610696647,0.3359375196302977,0.017142857142857144,0.054285714285714284,0.34385930610696647,0.3359375196302977,0.017142857142857144,0.03428571428571429,0.03428571428571429,0.0,7.751428571428572,0.0,0.0,0.9424649120601347,0.13196634914903713,11.794285714285714,0.0,0.0,0.15,0.08,10,0.042049872220453983,0.0,0.2648986565535896,0.0,0.0,1.0,0.5,0.25
